name;ticker;country;pays_fr;region;sector;industry;market;sector_fr;industry_fr;indice
Apple Inc.;AAPL;United States;États-Unis;Amérique du Nord;Technology;Consumer Electronics;NMS;Technologie;Électronique grand public;Nasdaq ou Dow Jones (bourses américaines)
Microsoft Corporation;MSFT;United States;États-Unis;Amérique du Nord;Technology;Software - Infrastructure;NMS;Technologie;Software - Infrastructure;Nasdaq ou Dow Jones (bourses américaines)
NVIDIA Corporation;NVDA;United States;États-Unis;Amérique du Nord;Technology;Semiconductors;NMS;Technologie;Semi-conducteurs;Nasdaq ou Dow Jones (bourses américaines)
Alphabet Inc.;GOOG;United States;États-Unis;Amérique du Nord;Communication Services;Internet Content & Information;NMS;Services de communication;Contenu Internet et information;Nasdaq ou Dow Jones (bourses américaines)
Amazon.com, Inc.;AMZN;United States;États-Unis;Amérique du Nord;Consumer Cyclical;Internet Retail;NMS;Consommation cyclique;Vente au détail sur Internet;Nasdaq ou Dow Jones (bourses américaines)
Saudi Arabian Oil Company;2222.SR;Saudi Arabia;Arabie Saoudite;Asie;Energy;Oil & Gas Integrated;SAU;Énergie;Pétrole et gaz intégrés;Autres marchés
Meta Platforms, Inc.;META;United States;États-Unis;Amérique du Nord;Communication Services;Internet Content & Information;NMS;Services de communication;Contenu Internet et information;Nasdaq ou Dow Jones (bourses américaines)
Berkshire Hathaway Inc.;BRK-B;United States;États-Unis;Amérique du Nord;Financial Services;Insurance - Diversified;NYQ;Services financiers;Insurance - Diversified;Nasdaq ou Dow Jones (bourses américaines)
Taiwan Semiconductor Manufacturing Company Limited;TSM;Taiwan;Taïwan;Asie;Technology;Semiconductors;NYQ;Technologie;Semi-conducteurs;Taiwan Stock Exchange (TWSE)
Broadcom Inc.;AVGO;United States;États-Unis;Amérique du Nord;Technology;Semiconductors;NMS;Technologie;Semi-conducteurs;Nasdaq ou Dow Jones (bourses américaines)
Tesla, Inc.;TSLA;United States;États-Unis;Amérique du Nord;Consumer Cyclical;Auto Manufacturers;NMS;Consommation cyclique;Constructeurs automobiles;Nasdaq ou Dow Jones (bourses américaines)
Eli Lilly and Company;LLY;United States;États-Unis;Amérique du Nord;Healthcare;Drug Manufacturers - General;NYQ;Santé;Drug Manufacturers - General;Nasdaq ou Dow Jones (bourses américaines)
Walmart Inc.;WMT;United States;États-Unis;Amérique du Nord;Consumer Defensive;Discount Stores;NYQ;Consommation défensive;Magasins discount;Nasdaq ou Dow Jones (bourses américaines)
JPMorgan Chase & Co.;JPM;United States;États-Unis;Amérique du Nord;Financial Services;Banks - Diversified;NYQ;Services financiers;Banks - Diversified;Nasdaq ou Dow Jones (bourses américaines)
Visa Inc.;V;United States;États-Unis;Amérique du Nord;Financial Services;Credit Services;NYQ;Services financiers;Services de crédit;Nasdaq ou Dow Jones (bourses américaines)
Tencent Holdings Limited;TCEHY;China;Chine;Asie;Communication Services;Internet Content & Information;PNK;Services de communication;Contenu Internet et information;Bourse de Shanghai ou Shenzhen
Mastercard Incorporated;MA;United States;États-Unis;Amérique du Nord;Financial Services;Credit Services;NYQ;Services financiers;Services de crédit;Nasdaq ou Dow Jones (bourses américaines)
