name;ticker;country;pays_fr;region;sector;industry;market;sector_fr;industry_fr;indice;name_yf
Celulosa Argentina;CELU.BA;Argentina;Argentine;Amérique du Sud;Basic Materials;Paper & Paper Products;BUE;Matériaux de base;Paper & Paper Products;Buenos Aires Stock Exchange (BYMA);Celulosa Argentina S.A.
Ternium Argentina;TXAR.BA;Argentina;Argentine;Amérique du Sud;Basic Materials;Steel;BUE;Matériaux de base;Acier;Buenos Aires Stock Exchange (BYMA);Ternium Argentina S.A.
Aluar Aluminio Argentino;ALUA.BA;Argentina;Argentine;Amérique du Sud;Basic Materials;Aluminum;BUE;Matériaux de base;Aluminium;Buenos Aires Stock Exchange (BYMA);Aluar Aluminio Argentino S.A.I.C.
Loma Negra;LOMA;Argentina;Argentine;Amérique du Sud;Basic Materials;Building Materials;NYQ;Matériaux de base;Matériaux de construction;Buenos Aires Stock Exchange (BYMA);Loma Negra Compañía Industrial Argentina Sociedad Anónima
Bioceres Crop Solutions;BIOX;Argentina;Argentine;Amérique du Sud;Basic Materials;Agricultural Inputs;NMS;Matériaux de base;Intrants agricoles;Buenos Aires Stock Exchange (BYMA);Bioceres Crop Solutions Corp.
BHP Group;BHP;Australia;Australie;Océanie;Basic Materials;Other Industrial Metals & Mining;NYQ;Matériaux de base;Autres métaux industriels et mines;Australian Stock Exchange (ASX);BHP Group Limited
Fortescue;FMG.AX;Australia;Australie;Océanie;Basic Materials;Other Industrial Metals & Mining;ASX;Matériaux de base;Autres métaux industriels et mines;Australian Stock Exchange (ASX);Fortescue Ltd
Northern Star;NST.AX;Australia;Australie;Océanie;Basic Materials;Gold;ASX;Matériaux de base;Or;Australian Stock Exchange (ASX);Northern Star Resources Limited
South32;S32.AX;Australia;Australie;Océanie;Basic Materials;Other Industrial Metals & Mining;ASX;Matériaux de base;Autres métaux industriels et mines;Australian Stock Exchange (ASX);South32 Limited
Evolution Mining;EVN.AX;Australia;Australie;Océanie;Basic Materials;Gold;ASX;Matériaux de base;Or;Australian Stock Exchange (ASX);Evolution Mining Limited
BlueScope Steel;BSL.AX;Australia;Australie;Océanie;Basic Materials;Steel;ASX;Matériaux de base;Acier;Australian Stock Exchange (ASX);BlueScope Steel Limited
Orica;ORI.AX;Australia;Australie;Océanie;Basic Materials;Specialty Chemicals;ASX;Matériaux de base;Specialty Chemicals;Australian Stock Exchange (ASX);Orica Limited
Coronado Global Resources;CRN.AX;Australia;Australie;Océanie;Basic Materials;Coking Coal;ASX;Matériaux de base;Charbon;Australian Stock Exchange (ASX);Coronado Global Resources Inc.
Lynas;LYC.AX;Australia;Australie;Océanie;Basic Materials;Other Industrial Metals & Mining;ASX;Matériaux de base;Autres métaux industriels et mines;Australian Stock Exchange (ASX);Lynas Rare Earths Limited
Pilbara Minerals;PLS.AX;Australia;Australie;Océanie;Basic Materials;Other Industrial Metals & Mining;ASX;Matériaux de base;Autres métaux industriels et mines;Australian Stock Exchange (ASX);Pilbara Minerals Limited
De Grey Mining;DEG.AX;Australia;Australie;Océanie;Basic Materials;Gold;ASX;Matériaux de base;Or;Australian Stock Exchange (ASX);De Grey Mining Limited
Mineral Resources;MIN.AX;Australia;Australie;Océanie;Basic Materials;Other Industrial Metals & Mining;ASX;Matériaux de base;Autres métaux industriels et mines;Australian Stock Exchange (ASX);Mineral Resources Limited
Perseus Mining;PRU.AX;Australia;Australie;Océanie;Basic Materials;Gold;ASX;Matériaux de base;Or;Australian Stock Exchange (ASX);Perseus Mining Limited
Sherwin-Williams;SHW;United States;États-Unis;Amérique du Nord;Basic Materials;Specialty Chemicals;NYQ;Matériaux de base;Specialty Chemicals;Bourses américaines (Nasdaq/NYSE/Dow Jones);The Sherwin-Williams Company
Brickworks Limited;BKW.AX;Australia;Australie;Océanie;Basic Materials;Building Materials;ASX;Matériaux de base;Matériaux de construction;Australian Stock Exchange (ASX);Brickworks Limited
Southern Copper;SCCO;United States;États-Unis;Amérique du Nord;Basic Materials;Copper;NYQ;Matériaux de base;Cuivre;Bourses américaines (Nasdaq/NYSE/Dow Jones);Southern Copper Corporation
IGO Limited;IGO.AX;Australia;Australie;Océanie;Basic Materials;Other Industrial Metals & Mining;ASX;Matériaux de base;Autres métaux industriels et mines;Australian Stock Exchange (ASX);IGO Limited
Westgold Resources Limited;WGX.AX;Australia;Australie;Océanie;Basic Materials;Gold;ASX;Matériaux de base;Or;Australian Stock Exchange (ASX);Westgold Resources Limited
Champion Iron;CIA.AX;Australia;Australie;Océanie;Basic Materials;Steel;ASX;Matériaux de base;Acier;Australian Stock Exchange (ASX);Champion Iron Limited
Nickel Industries Limited;NIC.AX;Australia;Australie;Océanie;Basic Materials;Other Industrial Metals & Mining;ASX;Matériaux de base;Autres métaux industriels et mines;Australian Stock Exchange (ASX);Nickel Industries Limited
Gold Road Resources;GOR.AX;Australia;Australie;Océanie;Basic Materials;Gold;ASX;Matériaux de base;Or;Australian Stock Exchange (ASX);Gold Road Resources Limited
Ramelius Resources;RMS.AX;Australia;Australie;Océanie;Basic Materials;Gold;ASX;Matériaux de base;Or;Australian Stock Exchange (ASX);Ramelius Resources Limited
